antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
perfumery,toys,0.03581267217630854,0.06887052341597796,0.0027548209366391185,0.07692307692307693,1.116923076923077,1.0,0.00028838345893191864,1.0087235996326904,0.10857142857142853,0.02702702702702703,0.008648156577150663,0.05846153846153847
health_beauty,perfumery,0.09641873278236915,0.03581267217630854,0.01652892561983471,0.17142857142857143,4.786813186813187,1.0,0.013075913151044631,1.1636743611665241,0.8755081300813008,0.14285714285714285,0.1406530612244898,0.31648351648351647
perfumery,health_beauty,0.03581267217630854,0.09641873278236915,0.01652892561983471,0.46153846153846156,4.786813186813187,1.0,0.013075913151044631,1.6780794962613146,0.8204761904761905,0.14285714285714285,0.4040806754221389,0.31648351648351647
perfumery,bed_bath_table,0.03581267217630854,0.2727272727272727,0.0013774104683195593,0.038461538461538464,0.14102564102564105,1.0,-0.00838968194340095,0.7563636363636363,-0.8633346349082389,0.004484304932735426,-0.3221153846153846,0.021756021756021756
perfumery,furniture_decor,0.03581267217630854,0.2796143250688705,0.0027548209366391185,0.07692307692307693,0.2751042061386889,1.0,-0.007258915222852113,0.7804178145087236,-0.7321086873325681,0.00881057268722467,-0.28136490660391233,0.0433876468359227
watches_gifts,perfumery,0.05509641873278237,0.03581267217630854,0.0013774104683195593,0.025,0.6980769230769232,1.0,-0.0005957395138462005,0.9889100798191707,-0.31399999999999995,0.015384615384615385,-0.011214285714285715,0.03173076923076923
perfumery,watches_gifts,0.03581267217630854,0.05509641873278237,0.0013774104683195593,0.038461538461538464,0.6980769230769232,1.0,-0.0005957395138462005,0.9826997245179063,-0.3096646942800788,0.015384615384615385,-0.01760484413545638,0.03173076923076923
perfumery,housewares,0.03581267217630854,0.14049586776859505,0.0013774104683195593,0.038461538461538464,0.2737556561085973,1.0,-0.0036541219862031285,0.8938842975206611,-0.7334348819497333,0.007874015748031496,-0.11871301775147929,0.024132730015082957
furniture_decor,bed_bath_table,0.2796143250688705,0.2727272727272727,0.09641873278236915,0.3448275862068966,1.2643678160919543,1.0,0.02016028049085901,1.1100478468899522,0.29024856596558324,0.21148036253776437,0.09913793103448282,0.3491814698711251
bed_bath_table,furniture_decor,0.2727272727272727,0.2796143250688705,0.09641873278236915,0.3535353535353536,1.2643678160919543,1.0,0.02016028049085901,1.114346590909091,0.2875000000000001,0.21148036253776437,0.10261312938177192,0.3491814698711251
housewares,bed_bath_table,0.14049586776859505,0.2727272727272727,0.027548209366391185,0.19607843137254902,0.7189542483660131,1.0,-0.010768845479589277,0.9046563192904656,-0.3126239259748842,0.07142857142857144,-0.10539215686274507,0.14854426619132502
bed_bath_table,housewares,0.2727272727272727,0.14049586776859505,0.027548209366391185,0.10101010101010102,0.7189542483660132,1.0,-0.010768845479589277,0.9560776302349336,-0.3495934959349592,0.07142857142857144,-0.04594017094017093,0.14854426619132502
